INFO 2025-08-09 12:34:20,397 autoreload 3592 6096 Watching for file changes with StatReloader
INFO 2025-08-09 19:51:41,399 autoreload 17112 17332 Watching for file changes with StatReloader
INFO 2025-08-12 21:33:46,035 autoreload 14496 120 Watching for file changes with StatReloader
INFO 2025-08-12 21:39:44,951 autoreload 7488 15728 Watching for file changes with StatReloader
INFO 2025-08-12 21:49:14,875 views 7488 15256 ProductViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-12 21:49:16,448 views 7488 15256 Successfully paginated 10 products
INFO 2025-08-12 21:49:16,669 basehttp 7488 13744 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-12 21:49:17,816 basehttp 7488 13744 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 10906
INFO 2025-08-12 21:49:18,075 basehttp 7488 13744 "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2025-08-12 21:49:18,126 basehttp 7488 15256 "GET /api/products/ HTTP/1.1" 200 40486
INFO 2025-08-12 21:49:18,140 basehttp 7488 13240 "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2025-08-12 21:49:18,231 basehttp 7488 15532 "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2025-08-12 21:49:18,776 basehttp 7488 15256 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-08-12 21:49:18,896 basehttp 7488 13744 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-08-12 21:49:18,998 basehttp 7488 15256 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-08-12 21:49:19,160 basehttp 7488 13240 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-08-12 21:49:19,252 basehttp 7488 14932 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-08-12 21:49:19,255 basehttp 7488 17168 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-08-12 21:49:19,346 basehttp 7488 13744 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-08-12 21:49:19,396 basehttp 7488 15532 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-08-12 21:49:19,409 basehttp 7488 15256 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-08-12 21:49:19,484 basehttp 7488 13240 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-08-12 21:49:19,566 basehttp 7488 14932 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-08-12 21:49:21,484 basehttp 7488 14932 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-08-12 21:49:24,243 basehttp 7488 14932 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
WARNING 2025-08-12 21:49:26,975 log 7488 14932 Not Found: /favicon.ico
WARNING 2025-08-12 21:49:26,980 basehttp 7488 14932 "GET /favicon.ico HTTP/1.1" 404 3947
INFO 2025-08-12 21:51:31,841 basehttp 7488 14932 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-12 21:51:31,916 basehttp 7488 14932 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 10906
INFO 2025-08-12 21:51:32,228 basehttp 7488 14932 "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,330 basehttp 7488 14932 "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,330 basehttp 7488 13240 "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,356 basehttp 7488 14932 "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,358 basehttp 7488 13240 "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,391 basehttp 7488 14932 "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,391 basehttp 7488 15532 "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,391 basehttp 7488 13240 "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,411 basehttp 7488 15532 "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,421 basehttp 7488 13240 "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,550 basehttp 7488 13240 "GET /static/unfold/fonts/inter/Inter-SemiBold.woff2 HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,550 basehttp 7488 15532 "GET /static/unfold/fonts/inter/Inter-Medium.woff2 HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,550 basehttp 7488 14932 "GET /static/unfold/fonts/material-symbols/Material-Symbols-Outlined.woff2 HTTP/1.1" 304 0
INFO 2025-08-12 21:51:32,622 basehttp 7488 14932 "GET /static/unfold/fonts/inter/Inter-Regular.woff2 HTTP/1.1" 304 0
INFO 2025-08-12 21:51:40,652 basehttp 7488 14932 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-08-12 21:51:40,898 basehttp 7488 14932 "GET /admin/ HTTP/1.1" 200 64339
INFO 2025-08-12 21:53:07,841 basehttp 7488 14932 "GET /admin/orders/order/ HTTP/1.1" 200 95017
INFO 2025-08-12 21:53:07,986 basehttp 7488 13240 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:07,989 basehttp 7488 14932 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:07,989 basehttp 7488 17168 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:07,991 basehttp 7488 13744 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
